NAME	LAT	LNG	CAPACITY	LANGUAGES
Parking Parc Central	42.506942	1.528239	600	CA,ES,FR,EN,PT,RU
Parking Fener 1	42.5076	1.534052	300	CA,ES,FR,EN,PT,RU
Parking Fener 2	42.506635	1.533173	80	CA,ES,FR,EN,PT,RU
Parking Fiter i Rossell	42.513027	1.53424	200	CA,ES,FR,EN,PT,RU
Parking El Trilla	42.508718	1.525533	140	CA,ES,FR,EN,PT,RU
Parking El Ribal	42.501817	1.519292	100	CA,ES,FR,EN,PT,RU
Parking Meritxell	42.507538	1.523247	30	CA,ES,FR,EN,PT,RU
Parking Dr. Mitjavila	42.510856	1.533381	40	CA,ES,FR,EN,PT,RU
Parking Salou	42.502677	1.515189	50	CA,ES,FR,EN,PT,RU
Parking Tobira	42.504848	1.519771	70	CA,ES,FR,EN,PT,RU
Parking Prat de La Creu	42.506637	1.522855	1200	CA,ES,FR,EN,PT,RU
Parking Consell General	42.505573	1.52119	500	CA,ES,FR,EN,PT,RU
Parking Josep Viladomat	42.511307	1.539382	30	CA,ES,FR,EN,PT,RU
Parking La Salita	42.51191	1.539801	30	CA,ES,FR,EN,PT,RU
Parking Fener 3	42.507672	1.536056	150	CA,ES,FR,EN,PT,RU
Parking Ciutat de Valls	42.50355	1.512366	140	CA,ES,FR,EN,PT,RU
Parking de la Valira	42.508782	1.533903	80	CA,ES,FR,EN,PT,RU
Parking Consell de la Terra 1	42.509316	1.53823	80	CA,ES,FR,EN,PT,RU
Parking Consell de la Terra 2	42.50911	1.537302	120	CA,ES,FR,EN,PT,RU
Parking Consell de la Terra 3	42.509429	1.536257	100	CA,ES,FR,EN,PT,RU
Parking Nacions Unides 1	42.509923	1.537613	80	CA,ES,FR,EN,PT,RU
Parking Nacions Unides 2	42.510278	1.538106	90	CA,ES,FR,EN,PT,RU
